asset_id,client_name,client_anon,applied_at,contract_ref
1,새솔증권,S증권,2024-11,C-2024-118
1,맥스전자,M전자,2025-03,C-2025-042
1,한빛생명,A생명,2025-07,C-2025-090
1,그린복지공단,G공단,2026-01,C-2026-006
2,미래제일금융지주,H금융지주,2025-02,C-2025-021
2,동연중공업,D제조,2025-06,C-2025-077
2,블루페이카드,B카드,2025-11,C-2025-140
3,새솔증권,S증권,2025-03,C-2025-039
4,블루페이카드,B카드,2025-12,C-2025-150
4,미래제일금융지주,H금융지주,2026-02,C-2026-018
5,대한정보통신공사,K공사,2025-01,C-2025-008
5,그린복지공단,G공단,2025-05,C-2025-066
5,맥스전자,M전자,2025-09,C-2025-112
5,한빛생명,A생명,2026-01,C-2026-004
6,그린복지공단,G공단,2025-08,C-2025-101
6,대한정보통신공사,K공사,2026-02,C-2026-020
7,블루페이카드,B카드,2025-12,C-2025-149
7,동연중공업,D제조,2026-03,C-2026-031
8,한빛생명,A생명,2025-01,C-2025-005
8,맥스전자,M전자,2025-07,C-2025-088
8,새솔증권,S증권,2025-12,C-2025-145
9,동연중공업,D제조,2025-04,C-2025-051
9,미래제일금융지주,H금융지주,2025-08,C-2025-099
9,블루페이카드,B카드,2026-01,C-2026-009
10,미래제일금융지주,H금융지주,2025-02,C-2025-024
11,그린복지공단,G공단,2026-02,C-2026-022
11,한빛생명,A생명,2026-03,C-2026-030
12,맥스전자,M전자,2024-10,C-2024-101
12,새솔증권,S증권,2025-02,C-2025-030
12,미래제일금융지주,H금융지주,2025-06,C-2025-080
12,대한정보통신공사,K공사,2025-10,C-2025-120
12,블루페이카드,B카드,2026-02,C-2026-016
